lat,long,url
25.7412853,-100.2208701,https://propiedades.com/inmuebles/casa-en-venta-ave-inspiracion-los-robles-nuevo_leon-24780780#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=6
25.7360131,-100.3990701,https://propiedades.com/inmuebles/terreno-habitacional-en-venta-oporto-cumbres-santa-clara-2-sector-nuevo_leon-24781917#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=7
25.7612465,-100.4068629,https://propiedades.com/inmuebles/casa-en-venta-paseo-paris-cumbres-san-angel-nuevo_leon-22357239#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=8
25.6696708,-100.3431437,https://propiedades.com/inmuebles/departamento-en-venta-av-constitucion-800-obispado-nuevo_leon-19474875#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=9
25.7275394,-100.3776086,https://propiedades.com/inmuebles/departamento-en-venta-av-zapopan-5505-los-cedros-nuevo_leon-19474879#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=10
25.3776336,-100.1203751,https://propiedades.com/inmuebles/casa-en-venta-cumbres-de-santiago-los-fierros-nuevo_leon-21066507#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=11
25.7709312,-100.4599559,https://propiedades.com/inmuebles/casa-en-venta-fraccionamiento-cumbres-la-rioja-nuevo_leon-18690765#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=12
25.7814602,-100.1797806,https://propiedades.com/inmuebles/casa-en-venta-futuro-apodaca-nuevo_leon-18982678#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=13
25.7672656,-100.2054016,https://propiedades.com/inmuebles/casa-en-venta-crystal-lagoons-nuevo_leon-23386646#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=14
25.808641,-100.1984554,https://propiedades.com/inmuebles/terreno-habitacional-en-venta-virrey-de-gueimas-rinconada-nuevo_leon-20635555#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=15
25.7392972,-100.4354861,https://propiedades.com/inmuebles/terreno-habitacional-en-venta-cumbres-elite-premier-cumbres-elite-premier-nuevo_leon-17524185#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=16
25.746294,-100.437074,https://propiedades.com/inmuebles/terreno-habitacional-en-venta-puerta-del-sol-cumbres-elite-premier-nuevo_leon-17353891#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=17
25.7530395,-100.2541574,https://propiedades.com/inmuebles/casa-en-venta-hermosa-casa-residencial-col-rincon-de-los-angelesprivada-rincon-de-los-angeles-6-sector-nuevo_leon-24923862#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=18
25.8184567,-100.3071849,https://propiedades.com/inmuebles/casa-en-venta-abedul-privadas-del-los-sauces-nuevo_leon-22785337#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=19
